date,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,MARCHE
2010-01-05,0.0017725575053874204,0.016361409257976044,0.0006749528988880945,0.011508244439915768,0.008334274300109865,-0.0027205645404799685,0.0034989511945933507,0.0008253445589425504,0.0008671935543966735,0.0055645129762634,-0.008185358430516909,0.003556319580846473
2010-01-06,-0.006882015620571186,-0.002317444098719354,0.006876815307510753,0.012122518014769202,0.0003634592487028158,0.001839311995963015,0.007327290661409213,-0.00024238332222335362,0.012544718463994919,-0.0017634183575987985,0.004039793349003499,0.002684765971696369
2010-01-07,-0.0037543932434765163,0.018954653620699025,-0.0009562402986961531,-0.003783824393341136,0.014056514410640661,0.0069944880077338805,0.008643336312511466,-0.002702852125864658,-0.005643486467539185,0.0064610841888266,-0.003916852587601649,0.005311852464709236
2010-01-08,-0.0011308133949608729,0.0010989832923455124,-0.004255665670054211,0.004795047117392937,-0.0014468051525458713,-0.001038369997615,0.008900328888193906,0.007869174720795397,0.012015226734393848,-0.006151112636942308,-6.100258246985553e-05,0.002149832946153538
2010-01-11,-0.004007392378387046,0.001295485254331627,0.001990513099739133,-0.0007973523383361325,0.0001876421506956131,0.00715661866739597,0.007583918660856022,-0.002090717791227591,-0.0021548304220243564,0.004083083551744735,0.011117097994184696,0.002826343594646763
2010-01-12,-0.02522032766347094,-0.003287993302208253,0.003606892411593209,-0.0165578322991249,-0.008108556765329225,-0.008016960808609929,-0.010344769131568721,-0.019831031175999037,-0.014173994855008547,-0.01784269895220236,-0.002936820794018936,-0.010188688115034598
2010-01-13,0.0064513038308712635,0.013376100909693359,0.005752241101335993,0.007956377489623627,0.010710118609590506,0.012882378916707796,0.00655055147379826,0.01425039432062021,0.007693882856891684,0.019079882486329747,0.008897951128008105,0.01066082217080382
2010-01-14,-0.009999089443274642,0.0035946720424630263,0.0015677624269663597,0.0003628501778601967,0.003273658262453856,0.004890501837873063,0.001164410912525109,0.002881286596798572,-0.007800081369036346,-0.002197111932663556,-0.002034912528830108,0.0010301271883855815
2010-01-15,-0.00897054022663288,-0.011182820559345136,-0.0037090819934120223,-0.00632341452882154,-0.01416669063714467,-0.006856512770240194,-0.015063974138652689,-0.019144710555853595,-0.00875281569749068,-0.007974479625588669,-0.006064506192137498,-0.011201330880409996
2010-01-19,0.007948353540269936,0.012030788170002815,0.007316301009065352,0.013231340646524462,0.012215593327016565,0.01827631182442652,0.010814491830629424,0.01603157374764843,0.01610342386279835,0.01872679171433038,0.011358524288286853,0.013266964199272549
2010-01-20,-0.008536510333953895,-0.016630137012619537,-0.006604826219601593,-0.013975487912568715,-0.000612933922930579,-0.010578932773620535,-0.011949569480974672,-0.013100110690205408,-0.015460388250469298,-0.009837389561412427,-0.009729467136274669,-0.010025139248773036
