award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
N0001925C0070,LOCKHEED MARTIN CORPORATION,4144374176.0,2024-11-22,Department of Defense,Department of the Navy,,,TX,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS."
N0002496C2100,ELECTRIC BOAT CORPORATION,4133038047.0,1999-10-14,Department of Defense,Department of the Navy,,,CT,
FA880718C0009,LOCKHEED MARTIN CORP,4094453903.35,2018-09-26,Department of Defense,Department of the Air Force,,,CO,GLOBAL POSITIONING SYSTEMS III FOLLOW-ON
W56HZV08C0460,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,4067162785.79,2008-05-30,Department of Defense,Defense Contract Management Agency,,,TX,"PROCUREMENT OF 10,000 FAMILY OF MEDIUM TACTICAL VEHICLES.  ALSO ADDING PROGRAM SUPPORT AND FEDERAL RETAIL EXCISE TAX.  THIS ACTION IS BEING ADDED AS AN UNDEFINITIZED CONTRACTUAL ACTION"
W58P0522C0016,PFIZER INC,4038717531.97,2022-06-29,Department of Defense,Department of the Army,,,NY,COVID-19 ADULT MDV VACCINE
FA862516C6599,THE BOEING COMPANY,4018013174.81,2016-01-29,Department of Defense,Defense Contract Management Agency,,,WA,"ACAT I, AFLCMC/WLJK, PRESIDENTIAL AIRCRAFT RECAPITALIZATION"
N0003019C0025,LOCKHEED MARTIN CORP,4008737351.62,2018-12-20,Department of Defense,Department of the Navy,,,CO,IR CPS WS DEVELOPMENT AND INTEGRATION
W58RGZ23C0001,BELL TEXTRON INC,3967917594.64,2022-12-05,Department of Defense,Department of the Army,,,TX,THE FUTURE VERTICAL LIFT (FVL) FLRAA CAPABILITY SET THREE IS A PRE-MAJOR DEFENSE ACQUISITION PROGRAM (ACAT 1C) COMMISSIONED TO DEVELOP AND FIELD THE NEXT GENERATION OF AFFORDABLE VERTICAL LIFT TACTICA
FA863423F0048,THE BOEING COMPANY,3933015048.3,2023-09-28,Department of Defense,Department of the Air Force,,,MO,F-15EX LOT 5 ADVANCED PROCUREMENT
DESC0004645,UCOR LLC,3900788934.07,2011-04-29,Department of Energy,Department of Energy,,,TN,"DECONTAMINATION AND DECOMISSIONING OF THE EAST TENNESSEE TECHNOLOGY PARK (ETTP)AT OAK RIDGE, TN."
N0001908C0028,LOCKHEED MARTIN CORPORATION,3829164350.67,2008-05-14,Department of Defense,Defense Contract Management Agency,,,TX,JSF LRIP LOT III - AAC
FA862518F7027,LOCKHEED MARTIN CORP,3809704361.36,2018-07-19,Department of Defense,Department of the Air Force,,,GA,"C-130J, ACAT 1, FIVE YEAR ORDERING CONTRACT, MYP3 AP"
N0002421C2106,HUNTINGTON INGALLS INC,3746462276.67,2021-02-19,Department of Defense,Department of the Navy,,,VA,FY21 RCOH ACCOMPLISHMENT
M6785416C0006,BAE SYSTEMS LAND AND ARMAMENTS L.P.,3744444171.0,2015-11-24,Department of Defense,Department of the Navy,,,PA,IGF::OT::IGF
F3365791C0006,LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY,3693487225.0,1997-02-05,Department of Defense,Defense Contract Management Agency,,,TX,
0001,THE BOEING COMPANY,3679519282.56,2011-10-01,Department of Defense,Defense Contract Management Agency,,,CA,THIS ORDER PROVIDES SUPPORT AND SUSTAINMENT SERVICES TO THE GOVERNMENT PRODUCT SUPPORT MANAGER (PSM)/ PRODUCT SUPPORT INTEGRATOR (PSI) FOR THE C-17 WEAPON SYSTEM. SUPPORT SHALL INCLUDE PROGRAM MANAGEM
FA820518F0001,LOCKHEED MARTIN CORPORATION,3667251155.64,2017-12-21,Department of Defense,Department of the Air Force,,,TX,IGF::OT::IGF COMPREHENSIVE F-22 VEHICLE SUSTAINMENT SERVICES
FA861108C2896,RTX CORPORATION,3648685783.01,2008-02-19,Department of Defense,Department of the Air Force,,,CT,F119 ENGINE LONG TERM SUSTAINMENT PROGRAM FOR THE RAPTOR ENGINE (SPARE)
N0001924C0009,SIKORSKY AIRCRAFT CORPORATION,3605014855.38,2023-12-15,Department of Defense,Department of the Navy,,,CT,CH-53K FRP LOT 9 AND OPTION FRP LOT 10 LONG LEAD ITEMS
36C10G21K0087,TRIWEST HEALTHCARE ALLIANCE CORP,3602762910.01,2020-10-01,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: FY 21
HT940213C0012,MARTINS POINT HEALTH CARE INC,3588918410.11,2013-09-26,Department of Defense,Defense Health Agency,,,ME,COMPREHENSIVE HEALTHCARE SERVICES
FA881606C0002,"UNITED LAUNCH SERVICES, LLC",3583485319.19,2006-02-28,Department of Defense,Defense Contract Management Agency,,,CO,200610!000002!5700!FA8816!SMC/EVK                         !FA881606C0002  !A!N! !N!             !      !20060228!20070930!926784042!834951691!834951691!N!LOCKHEED MARTIN CORPORATION   !12257 HIGHWAY 1
DEAC0609RL14728,"MISSION SUPPORT ALLIANCE, LLC",3557405197.21,2009-04-28,Department of Energy,Department of Energy,,,WA,"MISSION SUPPORT CONTRACT - PROVIDE DIRECT SUPPORT TO DOE-RL, DOE-ORP AND THEIR CONTRACTORS WITH COST-EFFECTIVE INFRASTRUCTURE AND SITE SERVICES INTEGRAL AND NECESSARY TO ACCOMPLISH THE HANFORD SITE EN"
89233224CNA000004,"PANTEXAS DETERRENCE, LLC",3537634605.97,2024-06-13,Department of Energy,Department of Energy,,,TX,CONTRACT 89233224CNA000004 FOR THE MANAGEMENT AND OPERATION OF THE PANTEX PLANT
DAAH2302C0006,SIKORSKY AIRCRAFT CORPORATION,3518890935.97,2002-09-26,Department of Defense,Department of the Army,,,CT,200212!002339!2100!AH23 !USA AVIATION AND MISSILE COMMAND!DAAH2302C0006 !A!N! !N! !20020926!20071231!835551474!835551474!001344142!N!SIKORSKY AIRCRAFT CORPORATION !6900 MAIN STREET !STRATFORD !CT!0661
75ACF121C00020,RAPID DEPLOYMENT INC,3516373308.21,2021-03-24,Department of Health and Human Services,Administration for Children and Families,,,TX,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE THE FULL COMPLEMENT OF SERVICES NECESSARY TO CARE FOR UC IN ORR CUSTODY INCLUDING FACILITIES SET-UP, MAINTENANCE, AND SUPPORT INTERNAL AND PERIMETER (IF APPL"
DAAH2303C0345,ARMY SUSTAINMENT LLC,3501851264.16,2003-10-01,Department of Defense,Department of the Army,,,AL,TEST
W58RGZ21C0015,THE BOEING COMPANY,3473342446.55,2021-06-18,Department of Defense,Department of the Army,,,AZ,APACHE ADVANCED PROCUREMENT AWARD FOR LOT 12 FULL RATE PRODUCTION.
